;Valor;Valor;Valor;Valor;Valor;Valor;Valor;Valor
Entrega;2017-1;2017-2;2017-3;2017-4;2017-5;2017-6;2017-7;2017-8
OS;;;;;;;;
39.0;0.0;8842.27;7073.82;26316.19;97884.59;591.33;0.0;0.0
42.0;130.55;3785.81;0.0;0.0;0.0;0.0;0.0;0.0
65.0;2937.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66.0;115.95;115.95;12.88;0.0;2202.95;0.0;0.0;0.0
67.0;0.0;1762.36;587.45;17730.43;3417.92;0.0;0.0;0.0
74.0;0.0;1615.5;2692.5;10770.0;12924.0;0.0;0.0;0.0
75.0;0.0;509.13;509.13;0.0;9164.26;0.0;0.0;0.0
76.0;0.0;783.27;11905.74;0.0;1409.89;0.0;0.0;0.0
77.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
91.0;0.0;7049.47;0.0;0.0;0.0;0.0;0.0;0.0
92.0;0.0;17623.61;0.0;0.0;0.0;0.0;0.0;0.0
116.0;0.0;1691.16;2029.38;11161.62;20462.98;0.0;0.0;0.0
117.0;125.88;0.0;0.0;2811.39;0.0;0.0;0.0;0.0
123.0;0.0;0.0;58.74;528.71;0.0;0.0;0.0;0.0
126.0;0.0;587.45;0.0;0.0;0.0;0.0;0.0;0.0
127.0;0.0;0.0;704.94;6344.51;0.0;0.0;0.0;0.0
129.0;0.0;0.0;12101.55;0.0;0.0;21355.68;6881.27;0.0
130.0;0.0;58.74;528.71;0.0;0.0;0.0;0.0;0.0
131.0;0.0;0.0;2271.48;7169.36;0.0;7098.4;6175.61;0.0
136.0;0.0;5727.68;56322.16;7636.9;0.0;0.0;0.0;0.0
137.0;0.0;0.0;2937.28;26435.44;0.0;0.0;0.0;0.0
153.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
161.0;0.0;146.86;88.12;704.95;1409.89;0.0;0.0;0.0
331.0;0.0;0.0;587.46;0.0;7049.45;0.0;0.0;0.0
339.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
456.0;0.0;1804.32;721.73;20208.46;2526.06;0.0;0.0;0.0
457.0;0.0;4196.1;3147.07;0.0;47066.25;27834.13;0.0;0.0
458.0;0.0;587.45;0.0;0.0;5287.08;0.0;0.0;0.0
460.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
594.0;0.0;0.0;939.93;3759.71;4028.26;11916.93;26351.52;0.0
595.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
596.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
837.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
865.0;0.0;0.0;2393.88;11969.38;0.0;49856.42999999999;181723.41;47067.27
1029.0;0.0;0.0;1821.1;0.0;2185.32;14022.51;0.0;0.0
1033.0;0.0;0.0;587.45;5287.090000000001;0.0;0.0;0.0;0.0
1820.0;0.0;0.0;0.0;7049.46;783.28;0.0;0.0;0.0
2117.0;0.0;0.0;0.0;5287.1;587.46;0.0;0.0;0.0
2123.0;0.0;0.0;0.0;0.0;1174.91;0.0;0.0;0.0
2915.0;0.0;0.0;0.0;0.0;3935.94;0.0;0.0;0.0
3122.0;0.0;0.0;0.0;0.0;587.46;0.0;0.0;0.0
4339.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4502.0;0.0;0.0;0.0;0.0;39.16;313.30999999999995;0.0;0.0
4666.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4668.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4719.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4957.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5351.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6013.0;0.0;0.0;0.0;0.0;293.73;0.0;0.0;0.0
6016.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6017.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6029.0;0.0;0.0;0.0;0.0;2095.25;0.0;0.0;0.0
6383.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6384.0;0.0;0.0;0.0;0.0;469.96;0.0;0.0;0.0
6453.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6469.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6565.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6747.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6916.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7049.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7050.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7051.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7053.0;0.0;0.0;0.0;0.0;0.0;56131.21;0.0;0.0
7075.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7079.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7513.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7522.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
